"X" "CID" "maxlatency" "mean_latency" "mean_time_retrieve" "mean_time_compute" "time_add_IPFS" "mean_time_pubsub" "numUpdates" "numberPeers" "numberPeerUpdating" "System"
"1658" 81 "QmPCRU7zkvwZYySwfgdoFrkbHcsKq2vUHZ2t5PEY7PoxsL" 218 179.75 43238792.75 50933.5 135094126 1366147.75 1000 "5" "1" "IM-CRDT"
"1659" 82 "QmPdKtt8u6r2XxGnin6smTvsmBXMpvbBJykCaAm2LPmWqQ" 249 207.5 43019048 55357.5 161962835 2462759.5 1000 "5" "1" "IM-CRDT"
"1660" 83 "QmPFy9hbW3bQmVtU8XauKdcbzQ1BHrbCAx9bLrZ8bcVBV5" 209 169.5 41337772.25 48947.25 125987894 2125386.5 1000 "5" "1" "IM-CRDT"
"1661" 84 "QmPHiw2uogAUtcyJAUSjv3sEMsc9qTBKtbsND7pxPyZv2a" 264 226.75 40372096.5 51988.75 184756578 1569336.75 1000 "5" "1" "IM-CRDT"
"1662" 85 "QmPJQMpR6ck9WWVh7bAu767P8f2WQoQrycFxsgYLxvWxZh" 235 192.75 47757560.5 50705.75 142894417 2047316.75 1000 "5" "1" "IM-CRDT"
"1663" 86 "QmPkA1cMgBQv25723xrrrphrzfPTq3NPeUjUqJzKmxaLYN" 340 299.25 46300533.25 53890.5 251802899 1092677.24999999 1000 "5" "1" "IM-CRDT"
"1664" 87 "QmPMgwfLZY1ok7ouhXw4aQG2k8pzXizF3umeUL1hdD8eie" 210 171.75 44716274.75 49158.75 126065299 919267.500000004 1000 "5" "1" "IM-CRDT"
"1665" 88 "QmPu1YGiGJRwVAX3xrFj6oFWgZsXoafGpZajCn75p8QhB9" 237 183.5 57574302.75 54593.75 125208493 662610.500000007 1000 "5" "1" "IM-CRDT"
"1666" 89 "QmPU3hqDDx14zavYn66ze9k6o9ufGBZPupEGHjAmCSTwLU" 262 198 53646880.5 52246 142760031 1540842.5 1000 "5" "1" "IM-CRDT"
"1667" 90 "QmPV9RykUAV4888Arkztc2gAGJQjdmeoB1HzdFya8rC9er" 200 170.25 42502865.5 57026.5 126152704 1537404 1000 "5" "1" "IM-CRDT"
"1668" 91 "QmPYBuVETZ1VKAxjKA872UXa1S3jviY3tryFFbdRWMNSEq" 251 188.75 60691018.25 50123.25 126021946 1986912.5 1000 "5" "1" "IM-CRDT"
"1669" 92 "QmQcfqUqjGpRUhpHx1JqrMGW2Tf9mJ4UUG6wFKXyJTtcN1" 243 204.75 44447854.25 59223 158693867 1549055.74999999 1000 "5" "1" "IM-CRDT"
"1670" 93 "QmQr2nZFvDKVh38ruuJiaKVKBkTtHA4JFa4rs5dxoMc6Xa" 274 224.75 53233982.5 50198.5 169905417 1560402 1000 "5" "1" "IM-CRDT"
"1671" 94 "QmQrM7Aq7vorH1cTGLTpf9RLYfDrR4mDpZo8JYvsCpsEUi" 273 223 53314061.5 51870 168308027 1326041.5 1000 "5" "1" "IM-CRDT"
"1672" 95 "QmQscg58HNLjHSbCLBnfgUfuLgmDT4X9nbSj2yWRhdqSNF" 218 180.25 44493897.75 52948 134763300 939854.250000003 1000 "5" "1" "IM-CRDT"
"1673" 96 "QmQTj4A55p84WhTzuqwMReG7MJvV3gHZhRhPoRpH3Xw49U" 303 267.5 39993571.75 65937.75 225574025 1866465.5 1000 "5" "1" "IM-CRDT"
"1674" 97 "QmQWw51Wcm1DfA9ttKMaNUUbWUUmxPDfMMZojzKMeRBLcN" 314 244.25 58227191.25 51281.25 184039842 1931685.49999999 1000 "5" "1" "IM-CRDT"
"1675" 98 "QmQX1v3JS28YfCb1dwCbGyQokXzkpUYTNCU8SEr3b3oGaJ" 203 165.5 45417382 58501.75 117912195 2111921.24999999 1000 "5" "1" "IM-CRDT"
"1676" 99 "QmQZJPVQi5jfsQ1xQM7NWxy7DAs99LdwU1dgrgvDjebWEm" 214 173.75 46139774 58158 126460600 1091468 1000 "5" "1" "IM-CRDT"
"1677" 100 "QmR1qFvEAntSsNWqfeyAC3VBVy12Fyn1MdymTywydDrrDc" 226 182.75 46498443.25 62425 134872033 1317098.75 1000 "5" "1" "IM-CRDT"
"1678" 101 "QmR3BMi2RozFPDQ54krPE4diEZY5FfKJ2rkjW3kaRno1s8" 294 238.75 52396409.5 68396.75 184156035 2129158.74999999 1000 "5" "1" "IM-CRDT"
"1679" 102 "QmR3jU4nkFKzinUbTkKZmxMCDoaRFsn5uoPC8Afr7RMamY" 204 165.25 44621739 48212.5 118537122 2042926.5 1000 "5" "1" "IM-CRDT"
"1680" 103 "QmR3NWmso8QfnbgdmdyeKQu2Bwtgaxxkymq1JkvTQFi7a8" 264 226.5 39287431.25 52229.5 184903347 2256992.25 1000 "5" "1" "IM-CRDT"
"1681" 104 "QmR5Kb5QGNFCeJjNRra27VcF1PoueyqFEiGZsbx1CzeDoi" 302 237 59338898 57550.25 176034031 1569520.75000001 1000 "5" "1" "IM-CRDT"
"1682" 105 "QmR6jkoGvKhY3HUae1eWYrRFox5az5oVvG3L4MMJTDAyNc" 264 203.25 50388178.75 53719 151446758 1361344.25000001 1000 "5" "1" "IM-CRDT"
"1683" 106 "QmRAKJhMvW4qPkCCDjwxndPLzSoKaVy9U9X6MF3B7tghRf" 255 194.5 49733938.75 55233 143785614 925214.249999996 1000 "5" "1" "IM-CRDT"
"1684" 107 "QmRbHPxxZ2BwxuEBSeyLirxBjmKPqeNvZGCrtoTLHDa6Az" 251 211.75 41415454 56998.25 168381808 1895739.75 1000 "5" "1" "IM-CRDT"
"1685" 108 "QmRdbtWrg8XmWYQihSuKNujv7Y5XvGeEEQmfvuSUbPeMyV" 223 162.25 50782390.5 57850 109893098 1516661.5 1000 "5" "1" "IM-CRDT"
"1686" 109 "QmREtuyD4iFiGsGef6U5HPAyniJRG27GUUJMxHfKvr97e5" 238 184.75 47503702.25 48432.75 134971156 2226709 1000 "5" "1" "IM-CRDT"
"1687" 110 "QmRFqcoNr9oeGuiyfHyDTow3uQFeHhedHa78p4dVjdfQep" 231 174.75 54871426 50159.25 117549522 2278892.75 1000 "5" "1" "IM-CRDT"
"1688" 111 "QmRfsDLX8TeyS5Am3bzP8y2tzoeBGmmmsCpzKtLaz5DKqN" 209 170.25 43417991.75 50794.25 125080633 1700581 1000 "5" "1" "IM-CRDT"
"1689" 112 "QmRML3hXKkanDMCaCxNcbvtXK6Ag9r8a5znVnEhWRTT1SY" 228 155.75 52617856.25 55827 101887449 1188867.75 1000 "5" "1" "IM-CRDT"
"1690" 113 "QmRnVH1UwuVG8p4hKfxY9aHCoWrez3ythRjHtZPXxD7pNS" 227 181.5 37689395.75 53496 142399543 1357565.25 1000 "5" "1" "IM-CRDT"
"1691" 114 "QmRRhbYE9AXVhxuMcsaX6isEcWFAkYDd3dz1S8vg5L5noc" 195 160.5 40652715 44899.5 117788027 2014358.5 1000 "5" "1" "IM-CRDT"
"1692" 115 "QmRS7vGPBvuPjzZGq4xhMQDC2CcJ7FHCankRBvqKW1yQRz" 192 152.5 42138631.75 53049.75 109096513 1211805.5 1000 "5" "1" "IM-CRDT"
"1693" 116 "QmRSJHgreq57E96ZpGXJAoDZJRnrUp4SBLeBAwmG88M1h1" 201 152 41729093.25 70054.25 109167606 1033246.5 1000 "5" "1" "IM-CRDT"
"1694" 117 "QmRTi1Gr4ET9x2p5s5Zs5GWCcGWrbi98zts2761iCGmxdr" 260 224 46027040 56072.25 176152820 1764067.74999999 1000 "5" "1" "IM-CRDT"
"1695" 118 "QmRuCjMy24wLuhKCLbQGt2MKWCDBzZJQqNX2eGYNdBLhbV" 262 224.75 47179822.75 62682 176369732 1137763.25 1000 "5" "1" "IM-CRDT"
"1696" 119 "QmRvNPp6vWyF5YUpXg3kPn4Vmo2GfY8awLnfyqy6qPg2fy" 228 189.5 44364011 69664 142630488 2435837 1000 "5" "1" "IM-CRDT"
"1697" 120 "QmRVZ4mLPf1BfF3fYMPMCe2Ho33XZ5YVRe8nRQMoyYUx7R" 896 501.5 377060226 64182 121985285 2390306.99999999 1000 "5" "1" "IM-CRDT"
"1698" 121 "QmRXZfC8WNJyGYf426peQdfo8A2ccJf4Jc47UH2wXecX6o" 234 164.25 52027675.5 55921 110421552 1744851.5 1000 "5" "1" "IM-CRDT"
"1699" 122 "QmRZn6Ts96BHWVR6co4DAaUnFAiQ6xr8ShJa8kQut2TgPm" 292 216.25 55111244.75 57811.25 159607539 1473404.99999999 1000 "5" "1" "IM-CRDT"
"1700" 123 "QmS2Hzh62S9s3ttWsAoLpQGN32BEVejBNRHPqxSFgymtfy" 218 176 47368088.5 53524 126444593 2133794.5 1000 "5" "1" "IM-CRDT"
"1701" 124 "QmS46VQ9Jr8V1GgGz2Jq1X28DBTJFEFxjDco8gVeNMixVD" 311 240.5 52946749.5 54678.25 185534071 1964501.25 1000 "5" "1" "IM-CRDT"
"1702" 125 "QmS66fN7V1DKRhLDHVSPf3DV9UdRqUrKNy276e9zdzdG4i" 227 184.75 40543385.5 53833.25 141955378 2197403.25 1000 "5" "1" "IM-CRDT"
"1703" 126 "QmS9MgEcSwZtEDcAgGgUC89tVfczF1vG3xjuRrtcnfxgAb" 240 194.25 49346949.25 60502 142887483 1955065.75 1000 "5" "1" "IM-CRDT"
"1704" 127 "QmSAD2WcnvsBK5giDwEPSRjJvTAvqzQ7v22J93iZwMvsR9" 197 161.25 41297438 54435.25 119017643 880483.749999996 1000 "5" "1" "IM-CRDT"
"1705" 128 "QmSEQkEpTHyVb4X6kKmfVZ6AP78MRi7Wc5wRJegaJPCUht" 232 171.5 51719697 54311.75 117852004 1873987.25 1000 "5" "1" "IM-CRDT"
"1706" 129 "QmShESDXynTjuBT6KjmxR3SqPutfCfwd6yQisnBubCUYEh" 270 231 42786155.75 53549.5 185494940 2665354.75 1000 "5" "1" "IM-CRDT"
"1707" 130 "QmSig6dg1SWi1SKMMenrZkWy3oZDF5iNR1yuuGQBCuj97n" 283 219.5 58147575.25 55703.75 159351162 1945559 1000 "5" "1" "IM-CRDT"
"1708" 131 "QmSMKXyrdTWrXgjDPJMWBf7AWz9WUS8tUaWKtypfxifPue" 255 218.25 46772825.75 55258.75 169967398 1454517.5 1000 "5" "1" "IM-CRDT"
"1709" 132 "QmSNZtYWsT48bEB5mPC4u8Ap4a42Yvmuuiid6wQ6M7zM5d" 202 160 43384092.25 56620 115008439 1550848.75 1000 "5" "1" "IM-CRDT"
"1710" 133 "QmSRfnWrxZZAqDjxk1vhPf4NeLY96AGPARLpNyQzPZcrZ6" 248 205.75 42904091.75 51495.75 159964839 2829573.5 1000 "5" "1" "IM-CRDT"
"1711" 134 "QmSzxowyVjHga5JdwcjZwDU51cP1QayrQ1ZbRJbKo35N58" 200 162 42205868.75 50399.75 118621266 1122465.5 1000 "5" "1" "IM-CRDT"
"1712" 135 "QmTaewHY4t1gb7iHsAwfuugFqhyzXH2trVmQUD7nJieZni" 201 164.75 45380604 61083.5 117978790 1329522.5 1000 "5" "1" "IM-CRDT"
"1713" 136 "QmTBxnPsgapF2TmmiKh8J8G4QKt37reym88Ue7hCXUh5Wf" 200 162.5 42123879.5 50386.5 118819032 1506702 1000 "5" "1" "IM-CRDT"
"1714" 137 "QmTCL3s6H2VYg3kfsW6b8N3J4expx8cn3MobtGHUUGoPTV" 260 175 55635934.5 52947.25 117492969 1818149.25 1000 "5" "1" "IM-CRDT"
"1715" 138 "QmTiLpyLQAP16YuckhRpWZK7PFboHMFDaWb7Xm1CBaBX1m" 273 232.5 46132085.5 53346.75 184611260 1703307.74999999 1000 "5" "1" "IM-CRDT"
"1716" 139 "QmTJB1EUpxs98DZ1T68wsrCeFE9SfDXfL497pCZX2gi7Wu" 213 151.75 48775792 58989 100997048 1918171 1000 "5" "1" "IM-CRDT"
"1717" 140 "QmTNzUxneztCqi3qQTFDvjqX4TdZFAVn8m6XY6uBeCwHfR" 241 205.25 43085508.75 47201.25 160249333 1867957 1000 "5" "1" "IM-CRDT"
"1718" 141 "QmTVX3dFm9jTWjHqZoxEPnWgRgZgdTwKPCPMtuSEVnF9g5" 274 202.25 57125177.75 68020.5 142949197 2107604.75000001 1000 "5" "1" "IM-CRDT"
"1719" 142 "QmTZCeovNQ7Diwm9t77JHuzYpZYLQDMNU7ErbA2JwNStPN" 200 163.25 42939307.75 49544 118311102 1950046.25 1000 "5" "1" "IM-CRDT"
"1720" 143 "QmTZWWkh7EZZewVuwYaGMHyjWfAy9EFodkNUTJUw5cM99Z" 264 224.25 46060523 50702 175947511 2191264 1000 "5" "1" "IM-CRDT"
"1721" 144 "QmU6vcWEZGJ79GX3AuRkN4JG7aTd7VzWLy3vWgVVbGPZQk" 248 196.25 49821154 50460 143644119 2734267 1000 "5" "1" "IM-CRDT"
"1722" 145 "QmU81n5NKgnu3oyS8HBYWr9d7CiMR6T1bh4a2brgsGBhw6" 290 230.25 51968962.5 55668.25 176099681 2125688.25 1000 "5" "1" "IM-CRDT"
"1723" 146 "QmUCvMQ3yi7dMiLMxL7ke5RgUFT7iCqonkarUpW3CJqxvJ" 234 195.75 42592137 56376.75 151575193 1526293.24999999 1000 "5" "1" "IM-CRDT"
"1724" 147 "QmUETeP7wDzpW8htR2wyQSqXedZtDwYDoGXaf66Hk5BocV" 276 239.75 45186635.75 60099 193011902 1491363.25 1000 "5" "1" "IM-CRDT"
"1725" 148 "QmUkxxTmBh8hn7gC3wg12TC1euiWDY1F6NFjxSjsp4xHcp" 198 160.75 41258944.25 59411 118159258 1272386.75 1000 "5" "1" "IM-CRDT"
"1726" 149 "QmUNYQKUvfjcnMCDyssC166iAGp8Zc8Gqr2XpBPWwEiPmC" 236 201.25 47250816 58357.25 152097253 1843573.75 1000 "5" "1" "IM-CRDT"
"1727" 150 "QmUPYov1ToTnwBkUEiwQcuFnPtYFjcEBLXqVU5m8G22FqD" 223 185 40537623.75 56785.25 143150181 1255409.99999999 1000 "5" "1" "IM-CRDT"
"1728" 151 "QmUrJYtErzKJtDjWRT6av3XGDyrn1L7eBJoC4ZcJfzxVif" 294 230 51960874.75 63102 176201033 1774990.25 1000 "5" "1" "IM-CRDT"
"1729" 152 "QmUVPZ9eSiFWs5TjqY9qgsEQ6fPDsycpTvjNJ8AoP69uRb" 191 153.25 42214075.5 49871.25 109384648 1601405.25 1000 "5" "1" "IM-CRDT"
"1730" 153 "QmUWFHYxxYpNvtJboTPYdCLjCTJrdEZuiFWBw86m6frrCy" 285 223.5 56745433.75 60019 164869644 1824903.25 1000 "5" "1" "IM-CRDT"
"1731" 154 "QmUWgV7z9A6PESgAeF7NrEnDN8Tg1nXPQJ8Prbepr6CQPj" 257 192.25 54789113.75 54577.75 135034940 2371368.5 1000 "5" "1" "IM-CRDT"
"1732" 155 "QmUWmZGEAPWJYEJQSDVHdZFTBXvf5YDGR65H7Av1BLsjoe" 231 178.5 53066057.25 48834.5 123119421 2265687.25000001 1000 "5" "1" "IM-CRDT"
"1733" 156 "QmUwsQcSzvCgTonmdvezeM5rcAnTRCdvBPc2oUKpKLBanC" 203 164 44390682.25 57630.75 117980471 1571216.00000001 1000 "5" "1" "IM-CRDT"
"1734" 157 "QmUXJUtUxFnc5SbBAxtAzXz5tJqJLhxUfLUnMKmFDCt1sH" 275 238.75 43464869.5 61175 193481028 1742927.5 1000 "5" "1" "IM-CRDT"
"1735" 158 "QmUYQRPdjJtDbu6S9XXuMvFupzkDkcyVzuVuNMrKpY3dqc" 262 222.75 44075671.75 48208.5 176669310 1956809.75 1000 "5" "1" "IM-CRDT"
"1736" 159 "QmVAQZwDaU1EpQ65kTUXvtsWwgtJ2tCWX82Vs65u36AwiL" 281 234.75 47059413 51553.75 185595120 2043913.24999999 1000 "5" "1" "IM-CRDT"
"1737" 160 "QmVcQkGLCD7nBhcmmhn4HjNt2R5jjcrvDZDNxTe1XkWXKV" 235 195 42601809.75 56949.75 150780032 1561208.50000001 1000 "5" "1" "IM-CRDT"
"1738" 161 "QmVf3hQQrEphJektFdCa6r46zAZyQM6NwsECkR5b27NSQC" 269 229 42538232 58970 184681273 1721525 1000 "5" "1" "IM-CRDT"
"1739" 162 "QmVg3NgYVrazq9LfYxSgPQekrVFekQ6TMg3VbhFXD1NCxM" 265 217 46371374.5 52268.75 168179223 2397133.75 1000 "5" "1" "IM-CRDT"
"1740" 163 "QmVi8gyzkAtjcLHbXEyuq2YX6qBZk7gg2J8N9QjDbo6gfs" 288 221.75 53419519.5 51365.25 167102538 1176577.25 1000 "5" "1" "IM-CRDT"
"1741" 164 "QmVjdFi2KaKJ7e9mrQDCc2BdWvNWAohgpAktQ4nCgGqVQN" 243 204 42586265 55647 159699399 1658688.99999999 1000 "5" "1" "IM-CRDT"
"1742" 165 "QmVoRcF5VJDjzxt8vdZo21xVjWexuKmtXkZj9DFFNc7JKW" 230 194 40658141.5 56671.25 151409710 1875477.25 1000 "5" "1" "IM-CRDT"
"1743" 166 "QmVQ2HsjCKMqhKw4Qgo2P93LpMKuDSru7TWXSPL4FVxb6q" 226 187.25 42080167.25 55212.5 143900238 1214382.25 1000 "5" "1" "IM-CRDT"
"1744" 167 "QmVqdgoMBYoUGPAzq5o2WD9EjhRdR5rp1qMB6rjynDqG1y" 266 213.25 52227594.75 55510.25 159461152 1505743.00000001 1000 "5" "1" "IM-CRDT"
"1745" 168 "QmVQqLbEN6j6KjwYL8titJNx4KGi6D7rYPjaAyEwqXpcwo" 272 234.5 47204719.25 60680.25 185962797 1271803.5 1000 "5" "1" "IM-CRDT"
"1746" 169 "QmVUfLmX4qLcVBwCJGKyxKWgTcXnNpV9rkxuxj3hatiLRP" 274 201.75 56057537 66891.5 143396268 2229303.5 1000 "5" "1" "IM-CRDT"
"1747" 170 "QmVVjN4ZdRqLGTXfFsqp5Wzk43PW9uSd6BwHn8v8fWYrb7" 227 189 44014962.75 52676.5 143041670 1890690.75 1000 "5" "1" "IM-CRDT"
"1748" 171 "QmVVMPLQFvVxMz5yj86MRLyKukRzf9BUusXPSHf7fx4whR" 277 237.25 42814002.5 53035.75 193008439 1374522.75 1000 "5" "1" "IM-CRDT"
"1749" 172 "QmVWq98GE2MKHbNxkS1mFuwJhCXoT8SNZRoPz7DJZjocSK" 278 194.75 66451090.75 51493.75 127108578 1138837.5 1000 "5" "1" "IM-CRDT"
"1750" 173 "QmVXcPtyzhPRSVpxZKLEkmaST22wPnCaFUnagweDAfCzVd" 282 240.75 45983739.75 56642 192185915 2523703.25 1000 "5" "1" "IM-CRDT"
"1751" 174 "QmVYs8UenY4xe76naH8K1JBYMkUv2e7PaXfJPsUf6gmqnh" 249 210.5 39979712.25 53221 168944191 1522875.75 1000 "5" "1" "IM-CRDT"
"1752" 175 "QmVzcWWnQaoH1GbsxEzNesQ6r3PuFS2wiNb8m3HycdW4p2" 242 204.25 42499808.5 53938.25 160059099 1637154.25 1000 "5" "1" "IM-CRDT"
"1753" 176 "QmW1HTDNSccobaW1PGi2bmFGPJTJaPikcoLPJh8S2aoHqm" 269 224 55371764.5 57686.75 167320748 1249800.75000001 1000 "5" "1" "IM-CRDT"
"1754" 177 "QmW5UceDCSxECVNBggnncwQjwTuc3Dq9Mr4LC3enHpjLbY" 304 246.75 52403697.5 61040.5 192880594 1404668 1000 "5" "1" "IM-CRDT"
"1755" 178 "QmW8THZUANbYa8ELacZtHYP8HmE25pi7yjzefWFZscmTHV" 277 220.25 59420441.5 63458.25 159301597 1464503.25 1000 "5" "1" "IM-CRDT"
"1756" 179 "QmW9uBN8aGTJWWp7f3mSus4G3U3t7ebSpNgr29oTBT7kZi" 266 227.75 45192130.5 51484.5 180667363 1839021.99999999 1000 "5" "1" "IM-CRDT"
"1757" 180 "QmWfiizB8YuEtDfGg6A8GE5T5ZBRGUDv4B7MWiRtTRCiri" 250 193.5 49649525 54116 142760182 1036177 1000 "5" "1" "IM-CRDT"
"1758" 181 "QmWk1ZhTr7QUL3U5cpBay19iqdVDRmFd9rbfhAwKkVg38B" 228 183.5 47030639.75 59942.5 134220446 2188971.75 1000 "5" "1" "IM-CRDT"
"1759" 182 "QmWsXADzAgukPNW1ZCBVgJPNRyrS8KVc5WNHRsqgQDegC5" 243 187.25 51309259.25 52956.75 134684386 1203397.99999999 1000 "5" "1" "IM-CRDT"
"1760" 183 "QmX7NiBUz333izNGMnwQriJQTgW95oT5b1zB4hDTpB1Ev2" 203 162.25 43018440 61758 118219874 949927.999999993 1000 "5" "1" "IM-CRDT"
"1761" 184 "QmX7zm1QskwLru4tN4vayVjgkAMjwocGgNUctnKcUHcF31" 227 155.5 51307615.75 54573 101242570 2895241.25 1000 "5" "1" "IM-CRDT"
"1762" 185 "QmXbS4hsocbxeFPmBZk6LsnPYhUNiFfWcGnLKvhPBzULwy" 241 184.5 47621969.5 54687.5 134907045 1916298 1000 "5" "1" "IM-CRDT"
"1763" 186 "QmXcXRVjthrHPmMbWKLTpSJXuFDgeuddfbT6bvkHjkUnoe" 251 198.25 53024796.25 50575.25 143022022 2152606.5 1000 "5" "1" "IM-CRDT"
"1764" 187 "QmXDWxypNjSgtDUm8uU3aD7bm2c9gKGyS6hmB6ZPtKsD8z" 258 226.75 41715158.5 52594 184105269 876978.5 1000 "5" "1" "IM-CRDT"
"1765" 188 "QmXe6QfDzxMRTr7SGWV3nyqPFHemWuu2DJ4ngbWz6qjHMo" 205 168.75 40579891.25 56804.5 126509922 1603382.25 1000 "5" "1" "IM-CRDT"
"1766" 189 "QmXGSjie9qhm2LURk2qaeeKTJfd6AWW1m4Lq17FiQP81WR" 260 200.5 55695056 58348.75 143735027 1011568.24999999 1000 "5" "1" "IM-CRDT"
"1767" 190 "QmXnLCMRK4HNHGPkR2GJXwiA3eLuLAfVPC6Z5uq9QtbVrN" 199 160.75 40801336.5 49748.75 118221528 1677386.74999999 1000 "5" "1" "IM-CRDT"
"1768" 191 "QmXoEAXUYZcZbgbrn1gbrqNzMexiqwuKGwRfhwk8r5mTFw" 274 215 53082314.75 65823 160431315 1420547.24999999 1000 "5" "1" "IM-CRDT"
"1769" 192 "QmXUouWMaPQUf32YWVcLAhupJUXiGiWzEjFgNrjRSmCDYw" 304 242.25 55318263.5 47777 185346601 1537358.50000001 1000 "5" "1" "IM-CRDT"
"1770" 193 "QmXXjHEmss7DVPx2TyihWGSCPA9Q2sLTWCafrdxcHZf5TK" 300 225 55936756 53574 168096539 913131 1000 "5" "1" "IM-CRDT"
"1771" 194 "QmXzdxmGKoKToEwSZEnabGyRHxMhGDHTwFk62TdxenNDDh" 249 210 49028310 62869.25 159443729 1465091.75 1000 "5" "1" "IM-CRDT"
"1772" 195 "QmYAxSmrfzix3VAyWzmJzxWDyEATNiAU3fqMVUHq2HKjuX" 222 186.75 41696409.5 50793.75 142957445 2045351.74999999 1000 "5" "1" "IM-CRDT"
"1773" 196 "QmYbgk8mDrvwd48zq5B5DHJb4r8dgEQHcH5MB7ZQoZYF6y" 246 174.25 54833656.5 64752.25 117882462 1469129.25 1000 "5" "1" "IM-CRDT"
"1774" 197 "QmYc1rNy3bP5TG2BY9GqGviyjBbrS6KPi1eMPUBgnDnrJd" 281 235.5 48951725.5 67757.5 184822499 1658018.00000001 1000 "5" "1" "IM-CRDT"
"1775" 198 "QmYDMK1KvSbbe9LtwPMCMKi36h5p8ToMhisYEYjddWp1GB" 260 200 53403093 52181.25 144314968 2229757.75 1000 "5" "1" "IM-CRDT"
"1776" 199 "QmYeWVsnxbksQNk3FACJSz5kc7AGBvgiY9yDJbxAkNQrcx" 280 247.5 51748219.5 50567 193996714 1704499.49999999 1000 "5" "1" "IM-CRDT"
"1777" 200 "QmYftu9qeChyBxwL9AwQopS5LHwuiZH4TwQhfsQf6Jwzgp" 216 164.5 53352878.25 55049 109652861 1439211.74999999 1000 "5" "1" "IM-CRDT"
"1778" 201 "QmYgW4hWxrZsvNZy3zBXwFDNwhJE8D4skK3g69dtHMXeA9" 177 144.25 40985945.75 61081.5 101229702 1973270.75 1000 "5" "1" "IM-CRDT"
"1779" 202 "QmYgxh69bXdWCguPikRHcFnN5j585d1RBbrwBFiCnXbG4q" 242 199.25 46007504.75 57215.25 152066212 1119068 1000 "5" "1" "IM-CRDT"
"1780" 203 "QmYHCTyJZoNurv8eJ5KAN88YVpVRVywWkeEbGB1qQR1DPh" 250 215.75 54559515 55586.25 159873640 1261258.75 1000 "5" "1" "IM-CRDT"
"1781" 204 "QmYLqKTKPip63CR68xNjsrP4jh5b4CS1M9TqdwGuj25eHe" 229 171.25 51762377.75 54587.5 117835884 1597150.75 1000 "5" "1" "IM-CRDT"
"1782" 205 "QmYqC8CKTt8Uwnoucf6gmHXiTMQDBGT6ajZRT5CvbrJCkQ" 258 207.75 46947353 52286.25 159129296 1621064.75 1000 "5" "1" "IM-CRDT"
"1783" 206 "QmYqZTojE6fa4xd2Ygh7mveq1W69iRtTYCpK7jQ8FvocRD" 268 203.5 50859291.75 55363.25 151066957 1518388 1000 "5" "1" "IM-CRDT"
"1784" 207 "QmYTp6ct9wUxCMGgZtgMp4Sbo9rU8jfAQHqX8iQJMtmXvG" 197 161 41584773 59334.5 117453107 1902785.5 1000 "5" "1" "IM-CRDT"
"1785" 208 "QmYvNPiPP2MPjTkKbenoJBQfpXEnEvhq6kqy1EGzpBcYPY" 252 178 57689712 48123 118329315 1932850 1000 "5" "1" "IM-CRDT"
"1786" 209 "QmYX4ESwyY9QA2gznwbq96PkUFgK3bjUqFjMD4YXsMrRG6" 346 286.25 49469521.75 62801.25 234943338 1774339 1000 "5" "1" "IM-CRDT"
"1787" 210 "QmZ1VXQ9FAuzXs3CLLD1RdP2EANEvNuAEnjTDCS6tdPEAW" 284 209.25 56804921.75 53246 150570409 1821423.25 1000 "5" "1" "IM-CRDT"
"1788" 211 "QmZ3mNpJ7BFudmYykk6SVPW5743GeVeEd44HmswtnFqD9k" 244 191.75 47542471.5 55393.25 142162656 1989479.25 1000 "5" "1" "IM-CRDT"
"1789" 212 "QmZ7474oRTpGFmLRNskHSz6fuSoCqHYmTF64GZ6jujTtok" 271 217.75 48542815 53649.5 168124460 1029075.5 1000 "5" "1" "IM-CRDT"
"1790" 213 "QmZ7ajgDXiMxUqLTun91rYyVH3TZxH1Wu5odzoXKc7NCfr" 269 228.75 50142281.75 48102.5 176117783 2441832.75 1000 "5" "1" "IM-CRDT"
"1791" 214 "QmZ7TkgVfxnCyvT1vn6egQi4SJUsB61M4JnMFHja1Srq89" 230 198.25 44497861 49525.75 151597465 2105148.25 1000 "5" "1" "IM-CRDT"
"1792" 215 "QmZaW4pxccx2TLy8sJgh96pJLDvj1TUmMGBzcDgXUKqmLQ" 229 187.5 42764407 74722.25 143012270 1648600.75 1000 "5" "1" "IM-CRDT"
"1793" 216 "QmZCYmfVivKJXAHk9yPB9LeXNrZNpZvnH3ewoBV68eD4e3" 201 160.25 40526170 52159.75 118128923 1542747.24999999 1000 "5" "1" "IM-CRDT"
"1794" 217 "QmZD6w1FWCWKbHssBitNVwm6DbTAGJDX1AKpYwV7C6cTNa" 206 170.5 42558119.25 48324.25 126322831 1570725.5 1000 "5" "1" "IM-CRDT"
"1795" 218 "QmZfwktepENhDL45db9Gguva24qgpFUACWi6rUz2ACyhUT" 235 177.75 49122305.5 50072.75 126354280 2223341.75 1000 "5" "1" "IM-CRDT"
"1796" 219 "QmZMmprSFzgiDfGgdZe5VEha182to3P4iCMwa6hnBrEooy" 244 200 41837196.5 64998.25 156464979 1632826.25 1000 "5" "1" "IM-CRDT"
"1797" 220 "QmZnYzbGXt9ajcQo9wh2C8zxQfz1po7grqTs8oYRxriUru" 303 243.25 49467012.25 53045.25 192293661 1436281.49999999 1000 "5" "1" "IM-CRDT"
